id,name,wine_id,ratings_average,ratings_count,year,price_euros,price_discounted_from,price_discount_percentage,bottle_volume_ml
1305985,Tua Rita Redigaffi Toscana 2011,75816,4.5,248,2011,555.0,,,750
1306000,Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 1998,1152755,4.6,1482,1998,1046.25,,,750
1306536,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 1999,89750,4.7,205,1999,728.75,,,750
1306724,Antinori Tignanello 1978,1652,4.6,101,1978,376.25,,,750
1307260,Domaine Armand Rousseau Chambertin Grand Cru 2001,88177,4.6,135,2001,7493.75,,,750
1307670,Joseph Phelps Vineyards Insignia 1999,16587,4.6,440,1999,353.75,,,750
1308545,Pétrus Pomerol 1982,1166837,4.7,1361,1982,9180.0,,,750
1309167,Château l'Évangile Pomerol 2008,1108737,4.4,384,2008,353.75,,,750
1309773,Ceretto Barolo Bricco Rocche 2006,7133,4.5,338,2006,325.0,,,750
1309849,Gaja Sorì Tildìn (Barbaresco) Langhe 2006,66134,4.6,224,2006,917.5,,,750
1311817,Ornellaia Bolgheri Superiore 1994,22447,4.5,364,1994,961.25,,,1500
1312080,Dal Forno Romano Valpolicella Superiore Monte Lodoletta 1995,89753,4.5,49,1995,276.25,,,750
1313679,Château Clinet Pomerol 2009,95444,4.6,436,2009,762.0,,,750
1313855,Poggio Antico Brunello di Montalcino Riserva 2003,10154,4.6,287,2003,238.75,,,750
1316561,Casanova di Neri Cerretalto Brunello di Montalcino 1997,81836,4.6,263,1997,491.25,,,750
1316676,Antinori Tenuta Tignanello 'Solaia' 2009,1651,4.7,2186,2009,705.0,,,750
1317121,Château Trotanoy Pomerol 1995,1098770,4.5,327,1995,533.75,,,750
1317676,Leonetti Cabernet Sauvignon 2009,94912,4.5,163,2009,201.25,,,750
1321071,Tenuta di Trinoro Toscana Rosso 2004,1169881,4.6,102,2004,811.25,,,1500
1322132,Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2011,1148747,4.6,779,2011,1025.0,,,750
1326300,J.M. Boillot Puligny-Montrachet Premier Cru Champ-Canet 2006,75378,0.0,15,2006,221.25,,,750
1330057,Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2009,1152755,4.7,628,2009,1601.25,,,750
1331453,Ornellaia Bolgheri Superiore 1999,22447,4.6,954,1999,340.0,,,750
1332839,Tenuta San Guido Sassicaia 1976,5078,4.6,38,1976,1707.5,,,750
1337052,Tua Rita Redigaffi Toscana 2008,75816,4.6,279,2008,470.0,,,750
1338352,Trimbach Clos Sainte Hune Riesling Alsace 2005,1182677,4.5,176,2005,618.75,,,750
1339254,Tenuta Castiglioni Giramonte Toscana 2009,20985,4.4,214,2009,140.0,,,750
1344874,Valentini Montepulciano d'Abruzzo 2000,1105697,4.6,117,2000,747.5,,,750
1346926,Tenuta Luce Luce Brunello di Montalcino 2005,83595,4.4,230,2005,211.3,,,750
1347152,Château Pontet-Canet Pauillac (Grand Cru Classé) 2009,14362,4.7,3275,2009,597.5,,,750
1351129,Castello del Terriccio Lupicaia 2005,94816,4.4,165,2005,216.25,,,750
1351130,Castello del Terriccio Lupicaia 2004,94816,4.5,482,2004,256.25,,,750
1352893,Ornellaia Bolgheri Superiore 2001,22447,4.6,1330,2001,1238.75,,,1500
1354455,Château de Beaucastel Châteauneuf-du-Pape 2006,1134803,4.4,1841,2006,168.75,,,750
1355780,Château Léoville Las Cases Saint-Julien (Grand Cru Classé) 2001,81848,4.5,892,2001,533.75,,,750
1360490,Querciabella Toscana Camartina 2004,6942,4.4,310,2004,201.25,,,750
1361140,Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 1999,1152755,4.6,1472,1999,1046.25,,,750
1361144,Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2002,1152755,4.5,1319,2002,896.25,,,750
1361962,Antinori Tignanello 1988,1652,4.5,216,1988,470.0,,,750
1362347,Château Trotanoy Pomerol 2000,1098770,4.6,341,2000,790.0,,,750
1365793,Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2006,1148747,4.6,1061,2006,795.0,,,750
1369680,Tenuta San Guido Sassicaia 1988,5078,4.6,517,1988,2668.75,,,1500
1371256,Domaine Ponsot Clos de la Roche Grand Cru Cuvée Vieilles Vignes 2009,85063,4.5,102,2009,1430.0,,,750
1372250,Gaja Sperss Barolo 1989,66194,4.6,170,1989,832.5,,,750
1374970,Valdicava Brunello di Montalcino Riserva Madonna del Piano 2001,1242989,4.7,246,2001,1046.25,,,1500
1380687,Biondi-Santi Brunello di Montalcino Riserva 1998,82698,4.6,188,1998,695.0,,,750
1384432,Harlan Estate Harlan Estate Red 1998,1218210,4.8,104,1998,1921.25,,,750
1387660,Le Macchiole Paleo Rosso 1993,16414,0.0,16,1993,178.75,,,750
1389527,Capannelle Solare Toscana 1997,1647,4.5,54,1997,150.0,,,750
1389844,Valentini Trebbiano d'Abruzzo 2009,1105696,4.4,201,2009,420.0,,,750
1390868,Tenuta San Guido Sassicaia 2012,5078,4.6,7410,2012,493.8,,,750
1394403,Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 1997,1152755,4.5,832,1997,2028.75,,,1500
1398100,Château d'Yquem Sauternes 2005,1153863,4.7,1858,2005,928.3,,,750
1407750,Tenuta San Guido Sassicaia 1980,5078,4.5,100,1980,961.25,,,750
1408176,Domaine Armand Rousseau Chambertin Grand Cru 2002,88177,4.7,133,2002,10960.0,,,750
1408644,Ceretto Barolo Bricco Rocche 2005,7133,4.5,432,2005,273.75,,,750
1409704,Château Margaux Château Margaux (Premier Grand Cru Classé) 2010,1127795,4.7,641,2010,1077.51,,,750
1411312,Krug Vintage 2002,79631,4.7,1266,2002,1800.0,,,1500
1411331,Ornellaia Bolgheri Superiore 2005,22447,4.7,1326,2005,425.0,,,750
1412578,Biondi-Santi Brunello di Montalcino Riserva 1967,82698,0.0,7,1967,961.25,,,750
1418050,Ornellaia Bolgheri Superiore 2007,22447,4.7,2181,2007,533.75,,,750
1421010,Gaja Sorì San Lorenzo 2000,66144,4.6,179,2000,1558.75,,,1500
1422378,Tua Rita Redigaffi Toscana 2003,75816,4.5,96,2003,512.5,,,750
1426935,Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2012,1152755,4.7,807,2012,1110.0,,,750
1428206,Poggio Antico Altero Brunello di Montalcino 2007,10152,4.4,595,2007,112.5,,,750
1428243,Castello Romitorio Brunello di Montalcino Riserva 2007,13978,4.5,279,2007,168.75,,,750
1429690,Castello di Ama L'Apparita 1998,89900,4.5,102,1998,630.0,,,1500
1429691,Castello di Ama L'Apparita 1996,89900,4.6,116,1996,287.5,,,750
1432574,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1991,3908,4.6,302,1991,1339.7,,,750
1433049,Vilafonté Series C 2010,16220,4.5,246,2010,74.0,,,750
1434526,Sena Aconcagua Valley 2009,25474,4.5,1037,2009,140.2,,,750
1434846,Château l'Évangile Pomerol 1990,1108737,4.6,302,1990,411.4,,,750
1434857,Didier Dagueneau (Louis-Benjamin Dagueneau) Silex 2007,1257923,4.5,339,2007,1495.0,,,1500
1435191,Altesino Brunello di Montalcino  Montosoli 2007,77472,4.4,402,2007,202.5,,,750
1435261,Château Rieussec Sauternes (Premier Grand Cru Classé) 2009,1135215,4.4,1195,2009,92.95,,,750
1435385,Quinta do Vale Meão Vintage Port 2007,1136945,4.5,56,2007,62.95,,,750
1443139,Château Doisy-Daëne L'Extravagant de Doisy-Daëne Sauternes 2001,96337,4.9,32,2001,397.5,,,375
1446899,Biondi-Santi Brunello di Montalcino Riserva 1997,82698,4.6,250,1997,895.0,,,750
1453562,Cavallotto Barolo Riserva Bricco Boschis Vigna San Giuseppe 2001,1130208,4.4,204,2001,397.5,,,750
1457989,Ferrari 'Giulio Ferrari' Riserva del Fondatore 1995,1256452,4.7,59,1995,747.5,,,750
1457990,Ferrari 'Giulio Ferrari' Riserva del Fondatore 2010,1256452,4.5,92,2010,310.0,,,750
1460844,Ornellaia Bolgheri Superiore 1993,22447,4.5,339,1993,448.75,,,750
1468211,Antinori Tignanello 2010,1652,4.5,8817,2010,420.0,,,750
1469472,Laurent-Perrier Brut Cuvée Champagne Rosé,8305,4.4,36681,N.V.,72.0,,,750
1477102,Tenuta San Guido Sassicaia 1991,5078,4.4,252,1991,618.75,,,750
1477318,Ornellaia Bolgheri Superiore 1987,22447,4.7,37,1987,618.75,,,750
1477440,Château d'Yquem Sauternes 2006,1153863,4.7,1002,2006,595.0,,,750
1479366,Dom Pérignon Brut Champagne 2000,86684,4.6,5945,2000,638.83,,,750
1485238,Krug Rosé,79632,4.6,3605,N.V.,349.0,,,750
1485772,Castello di Ama L'Apparita 2007,89900,4.4,239,2007,353.75,,,750
1485973,Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2009,1148747,4.7,487,2009,1164.36,,,750
1487737,Château d'Yquem Sauternes 1983,1153863,4.7,752,1983,811.25,,,750
1488742,Ruinart Brut Rosé Champagne,1148298,4.4,21147,N.V.,49.61,,,375
1490694,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 1990,89750,4.6,41,1990,1761.25,,,750
1492543,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2010,89750,4.7,522,2010,747.5,,,750
1497781,Château Rayas Châteauneuf-du-Pape 2004,87552,4.6,669,2004,2967.5,,,750
1503292,Valentini Montepulciano d'Abruzzo 2006,1105697,4.4,189,2006,618.75,,,750
1504379,Billecart-Salmon Blanc de Blancs Brut Champagne Grand Cru,15617,4.4,5553,N.V.,92.95,,,750
1506241,Antinori Tenuta Guado al Tasso Bolgheri Superiore 1998,1658,4.4,415,1998,533.75,,,1500
1508173,Gaja Conteisa Langhe 2009,66184,4.5,157,2009,239.0,,,750
1509754,Marqués de Murrieta Castillo Ygay Gran Reserva Especial Tinto 2011,11001,4.6,767,2011,235.0,,,750
